year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,11,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",87,15,3.66,1.71,3.23,0,6.4,7,0,1001,132,114,112,0,643
2025,11,9E,Endeavor Air Inc.,ABY,"Albany, GA: Southwest Georgia Regional",22,6,4.18,0.04,0.5,0,1.27,2,0,792,569,7,16,0,200
2025,11,9E,Endeavor Air Inc.,AEX,"Alexandria, LA: Alexandria International",87,15,8.44,1,1.37,0,4.19,7,0,905,408,119,46,0,332
2025,11,9E,Endeavor Air Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",58,14,7.13,0,1.47,0,5.39,5,0,752,356,0,90,0,306
2025,11,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",56,20,3.92,0,6.41,0,9.67,1,0,1654,439,0,316,0,899
2025,11,9E,Endeavor Air Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",2356,375,72.92,7.12,82.59,0.05,212.31,151,7,38470,13193,590,4441,6,20240
2025,11,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,11,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",89,8,3.26,0,3.48,0,1.26,0,0,613,316,0,206,0,91
2025,11,9E,Endeavor Air Inc.,AVL,"Asheville, NC: Asheville Regional",59,15,2.1,0,3.92,0,8.98,2,0,1826,300,0,421,0,1105
2025,11,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",111,25,6.87,0,4.77,0,13.36,5,0,1992,822,0,271,0,899
2025,11,9E,Endeavor Air Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",140,29,6.5,0,7.61,0,14.9,7,0,2126,388,0,428,0,1310
2025,11,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",97,22,9.27,1.49,5.87,0,5.36,2,0,1564,610,259,367,0,328
2025,11,9E,Endeavor Air Inc.,BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",58,13,5.65,0.9,1.65,0,4.79,2,1,1588,528,540,45,0,475
2025,11,9E,Endeavor Air Inc.,BNA,"Nashville, TN: Nashville International",188,43,11.64,0,18.57,0,12.79,3,0,3268,907,0,998,0,1363
2025,11,9E,Endeavor Air Inc.,BQK,"Brunswick, GA: Brunswick Golden Isles",88,19,7.28,1,2.62,0,8.1,3,0,1215,379,95,63,0,678
2025,11,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",17,0,0,0,0,0,0,2,0,0,0,0,0,0,0
2025,11,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Patrick Leahy Burlington International",167,31,6.11,0,8.42,0,16.47,6,0,1898,523,0,383,0,992
